# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: illegal.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00000f00   ---        --------
               6   N   00000f00   0000e101   00000f04   x10_a0     00000000
               7   N   00000f04   00004e01   00000f06   ---        --------
               8   N   00000f06   00000297   00000f08   x28_t3     00000000
               9   N   00000f08   bf828293   00000f0c   x05_t0     00000f08
              10   N   00000f0c   30529073   00000f10   x05_t0     00000b00
              11   N   00000f10   00004505   00000f14   ---        --------
              12   N   00000f14   0000057e   00000f16   x10_a0     00000001
              13   N   00000f16   00054863   00000f18   x10_a0     80000000
              14   N   00000f18   0ff0000f   00000f28   ---        --------
              17   N   00000f28   00028f63   00000f2c   x05_t0     00000000
              18   N   00000f2c   10529073   00000f4a   ---        --------
              22   N   00000f4a   00006509   00000f4e   ---        --------
              23   N   00000f4e   00006509   00000f4e   ---        --------
              24   N   00000f4e   80050513   00000f50   x10_a0     00002000
              25   N   00000f50   30052073   00000f54   x10_a0     00001800
              26   N   00000f54   00000297   00000f58   ---        --------
              27   N   00000f58   00000297   00000f58   ---        --------
              28   N   00000f58   6bf28293   00000f5c   x05_t0     00000f58
              29   N   00000f5c   34129073   00000f60   x05_t0     00001617
              30   N   00000f60   f1402573   00000f64   ---        --------
              31   N   00000f64   30200073   00000f68   x10_a0     00000000
              33   N   00000f68   00000000   00001616   ---        --------
              36   N   00001616   00200e13   00001618   x08_s0     00000080
              37   N   00001618   00000000   0000161c   x28_t3     00000002
              38   E   0000161c   00000000   00000b00   mstatus    00001800
              38   E   0000161c   00000000   00000b00   mepc       0000161c
              38   E   0000161c   00000000   00000b00   mcause     00000002
              38   E   0000161c   00000000   00000b00   mtval      00000000
              41   N   00000b00   00004785   00000b04   x14_a4     00000002
              42   N   00000b04   00008ff9   00000b06   x15_a5     00000001
              43   N   00000b06   0000c385   00000b08   x15_a5     00000000
              44   N   00000b08   f0000837   00000b28   ---        --------
              47   N   00000b28   02f70463   00000b2a   x15_a5     00000008
              48   N   00000b2a   000047a5   00000b2e   ---        --------
              49   N   00000b2e   02f70163   00000b30   x15_a5     00000009
              50   N   00000b30   000047ad   00000b34   ---        --------
              51   N   00000b34   00f70e63   00000b36   x15_a5     0000000b
              52   N   00000b36   47ad1717   00000b3a   ---        --------
              54   N   00000b3a   00f70713   00000b3e   x14_a4     00001b3a
              56   N   00000b3e   0000c311   00000b42   x14_a4     00001800
              57   N   00000b42   00008702   00000b44   ---        --------
              58   N   00000b44   34202773   00001800   ---        --------
              61   N   00001800   e6dff06f   00001840   ---        --------
              64   N   00001840   342022f3   00001844   x06_t1     00000002
              65   N   00001844   ec6296e3   00001848   x05_t0     00000002
              66   N   00001848   341022f3   0000184c   ---        --------
              67   N   0000184c   343023f3   00001850   x05_t0     0000161c
              68   N   00001850   00038e63   00001854   x07_t2     00000000
              69   N   00001854   0002d303   00001870   ---        --------
              72   N   00001870   dac30313   00001874   x06_t1     00001870
              73   N   00001874   04628e63   00001878   x06_t1     0000161c
              74   N   00001878   00000317   000018d4   ---        --------
              77   N   000018d4   34129073   000018d8   x05_t0     00001624
              78   N   000018d8   30200073   000018dc   ---        --------
              80   N   000018dc   00200337   00001624   ---        --------
              83   N   00001624   80028293   00001628   x05_t0     00002000
              84   N   00001628   3002b073   0000162c   x05_t0     00001800
              85   N   0000162c   00001337   00001630   ---        --------
